,60,80,100,120,140,160,180,200,240,300
1,10661578.142735334,9490469.996212477,9357276.63341833,9257190.110984711,9231944.087202659,9188034.75963146,9242736.580163106,9217377.743034182,9136218.866027553,9170355.84554087
4,10864731.644732298,9961181.372849852,9767806.794184927,9675581.834898587,9689476.320837637,9678983.2326456,9643191.746851733,9601734.602846038,9592058.133812321,9581678.6041754
7,11174961.915277572,10169600.867045388,10005676.63673286,9885253.86614375,9871185.359059665,9934514.827453362,9896977.14974866,9853045.532755712,9879528.822380727,9898050.028770525
10,11294749.67401994,10265455.104747524,10206775.23149012,10155042.895739892,10047101.791849623,10150406.298126008,10122077.339781655,10109196.327812113,10103180.306872942,10096090.142684989
13,11185264.812047437,10564295.212689623,10316754.923703916,10406062.794840861,10342694.512307173,10311827.71769159,10286648.290628385,10302558.243441174,10302680.6203386,10274746.816986807
16,11596142.98797595,10957484.542067582,10721520.06822487,10825657.088804992,10742324.711464869,10647493.49224885,10659288.283626055,10711543.093461078,10722583.377627395,10650397.864722325
19,11446092.740338933,11025198.373286868,10913168.971180648,10946404.52512277,10898787.842243293,10934422.9730108,10858181.146232957,10881100.519418601,10892385.678176556,10884256.293814205
22,11749208.129337607,11353097.898644917,11073498.177038563,11170934.943950428,11172363.108991692,11134513.9743286,11166044.455376953,11101958.944448065,11146887.275189681,11221595.027416239
25,11988705.616226383,11579493.958421046,11570623.461912816,11869535.68093929,11574717.073615093,11558888.294705326,11657923.01049033,11546705.213536574,11572756.419024281,11593967.486574883
28,12690950.994273715,12044399.115374574,11909685.633341502,12044542.453287527,11868433.439420382,12145052.456383038,12069969.807120265,12007033.054601926,12098217.517723715,11962825.634381736
